"","City","State","Location","count","lon","lat","state_group","job_concentration","avg_lon_weighted","avg_lat_weighted","dist"
"1","San Francisco","CA","San Francisco, CA",435,-122.4194155,37.7749295,"CA",0.489864864864865,-122.360779220946,37.7078784279279,5.64016047880853
"2","New York","NY","New York, NY",420,-74.0059728,40.7127753,"NY",0.466666666666667,-73.9720032966667,40.73264356,2.24989704306768
"3","Washington","DC","Washington, DC",194,-77.0368707,38.9071923,"DC",0.217977528089888,-77.1325625479775,38.937481625618,5.56070825948646
"4","Austin","TX","Austin, TX",175,-97.7430608,30.267153,"TX",0.274725274725275,-97.0156526846154,31.1728838894819,76.1472170503168
"5","South San Francisco","CA","South San Francisco, CA",169,-122.4077498,37.654656,"CA",0.190315315315315,-122.360779220946,37.7078784279279,4.49146911925776
"6","Dallas","TX","Dallas, TX",102,-96.7969879,32.7766642,"TX",0.160125588697017,-97.0156526846154,31.1728838894819,111.697920162603
"7","Arlington","VA","Arlington, VA",96,-77.1067698,38.8799697,"DC",0.107865168539326,-77.1325625479775,38.937481625618,4.21432862726516
"8","Houston","TX","Houston, TX",90,-95.3698028,29.7604267,"TX",0.141287284144427,-97.0156526846154,31.1728838894819,138.495724453274
"9","McLean","VA","McLean, VA",68,-77.1772604,38.9338676,"DC",0.0764044943820225,-77.1325625479775,38.937481625618,2.41842392118198
"10","Brooklyn","NY","Brooklyn, NY",60,-73.9441579,40.6781784,"NY",0.0666666666666667,-73.9720032966667,40.73264356,4.04130848033849
"11","Rego Park","NY","Rego Park, NY",60,-73.8624893,40.7255722,"NY",0.0666666666666667,-73.9720032966667,40.73264356,5.76251298862816
"12","Staten Island","NY","Staten Island, NY",60,-74.1502007,40.5795317,"NY",0.0666666666666667,-73.9720032966667,40.73264356,14.1312345646994
"13","Irving","TX","Irving, TX",58,-96.9488945,32.8140177,"TX",0.0910518053375196,-97.0156526846154,31.1728838894819,113.610224737709
"14","Springfield","VA","Springfield, VA",58,-77.1872036,38.7892801,"DC",0.0651685393258427,-77.1325625479775,38.937481625618,10.6675551203489
"15","Chantilly","VA","Chantilly, VA",54,-77.4310992,38.8942786,"DC",0.0606741573033708,-77.1325625479775,38.937481625618,16.3461571758873
"16","San Antonio","TX","San Antonio, TX",53,-98.4936282,29.4241219,"TX",0.0832025117739403,-97.0156526846154,31.1728838894819,149.772064399997
"17","Gaithersburg","MD","Gaithersburg, MD",49,-77.2016062,39.1439689,"DC",0.0550561797752809,-77.1325625479775,38.937481625618,14.759840840234
"18","Rockville","MD","Rockville, MD",48,-77.1527578,39.0839973,"DC",0.0539325842696629,-77.1325625479775,38.937481625618,10.1947359770576
"19","Alexandria","VA","Alexandria, VA",46,-77.0469214,38.8048355,"DC",0.051685393258427,-77.1325625479775,38.937481625618,10.2713742957609
"20","Reston","VA","Reston, VA",45,-77.3570028,38.9586307,"DC",0.050561797752809,-77.1325625479775,38.937481625618,12.164704850255
"21","Plano","TX","Plano, TX",43,-96.6988856,33.0198431,"TX",0.0675039246467818,-97.0156526846154,31.1728838894819,129.124283043055
"22","Menlo Park","CA","Menlo Park, CA",40,-122.1817252,37.4529598,"CA",0.045045045045045,-122.360779220946,37.7078784279279,20.1849859697555
"23","San Mateo","CA","San Mateo, CA",33,-122.3255254,37.5629917,"CA",0.0371621621621622,-122.360779220946,37.7078784279279,10.2084563503523
"24","Berkeley","CA","Berkeley, CA",31,-122.273042,37.8715226,"CA",0.0349099099099099,-122.360779220946,37.7078784279279,12.2961247938566
"25","Silver Spring","MD","Silver Spring, MD",31,-77.026088,38.9906657,"DC",0.0348314606741573,-77.1325625479775,38.937481625618,6.80781238318086
"26","Bronx","NY","Bronx, NY",30,-73.8648268,40.8447819,"NY",0.0333333333333333,-73.9720032966667,40.73264356,9.57654776337273
"27","Fort Lee","NJ","Fort Lee, NJ",30,-73.9701381,40.8509333,"NY",0.0333333333333333,-73.9720032966667,40.73264356,8.18451950155887
"28","Jersey City","NJ","Jersey City, NJ",30,-74.0431435,40.7177545,"NY",0.0333333333333333,-73.9720032966667,40.73264356,3.86965470716545
"29","Lynbrook","NY","Lynbrook, NY",30,-73.6717969,40.6548253,"NY",0.0333333333333333,-73.9720032966667,40.73264356,16.642767993939
"30","Mamaroneck","NY","Mamaroneck, NY",30,-73.7326309,40.9487097,"NY",0.0333333333333333,-73.9720032966667,40.73264356,19.504790400072
"31","Maspeth","NY","Maspeth, NY",30,-73.9065883,40.7294018,"NY",0.0333333333333333,-73.9720032966667,40.73264356,3.43686911349471
"32","Paramus","NJ","Paramus, NJ",30,-74.0754189,40.9445428,"NY",0.0333333333333333,-73.9720032966667,40.73264356,15.6277646128237
"33","West New York","NJ","West New York, NJ",30,-74.0143064,40.7878788,"NY",0.0333333333333333,-73.9720032966667,40.73264356,4.41794175587994
"34","West Orange","NJ","West Orange, NJ",30,-74.2390828,40.7985699,"NY",0.0333333333333333,-73.9720032966667,40.73264356,14.7195297291775
"35","Williston Park","NY","Williston Park, NY",30,-73.6448513,40.75649,"NY",0.0333333333333333,-73.9720032966667,40.73264356,17.2274338796494
"36","Bethesda","MD","Bethesda, MD",29,-77.0947092,38.984652,"DC",0.0325842696629213,-77.1325625479775,38.937481625618,3.84673327049019
"37","College Park","MD","College Park, MD",28,-76.93776,38.9896967,"DC",0.0314606741573034,-77.1325625479775,38.937481625618,11.0845733856869
"38","Redwood City","CA","Redwood City, CA",27,-122.228141,37.4847955,"CA",0.0304054054054054,-122.360779220946,37.7078784279279,17.0609994155875
"39","Herndon","VA","Herndon, VA",26,-77.3860976,38.9695545,"DC",0.0292134831460674,-77.1325625479775,38.937481625618,13.8201307536168
"40","Palo Alto","CA","Palo Alto, CA",26,-122.1430195,37.4418834,"CA",0.0292792792792793,-122.360779220946,37.7078784279279,21.9373142550665
"41","Oakland","CA","Oakland, CA",21,-122.2711639,37.8043514,"CA",0.0236486486486486,-122.360779220946,37.7078784279279,8.28120329079281
"42","Fort Worth","TX","Fort Worth, TX",17,-97.3307658,32.7554883,"TX",0.0266875981161695,-97.0156526846154,31.1728838894819,111.044258200557
"43","Emeryville","CA","Emeryville, CA",16,-122.2892278,37.8395028,"CA",0.018018018018018,-122.360779220946,37.7078784279279,9.91156983775567
"44","Annapolis Junction","MD","Annapolis Junction, MD",15,-76.7769324,39.1202934,"DC",0.0168539325842697,-77.1325625479775,38.937481625618,22.9192574737208
"45","Fort Meade","MD","Fort Meade, MD",15,-76.7342399,39.1042635,"DC",0.0168539325842697,-77.1325625479775,38.937481625618,24.321782815002
"46","Vienna","VA","Vienna, VA",15,-77.2652604,38.9012225,"DC",0.0168539325842697,-77.1325625479775,38.937481625618,7.57063003311462
"47","Fremont","CA","Fremont, CA",14,-121.988583,37.5485396,"CA",0.0157657657657658,-122.360779220946,37.7078784279279,23.1829402332425
"48","Fairfax","VA","Fairfax, VA",13,-77.3063733,38.8462236,"DC",0.0146067415730337,-77.1325625479775,38.937481625618,11.2900450423243
"49","Brisbane","CA","Brisbane, CA",10,-122.3999715,37.6807661,"CA",0.0112612612612613,-122.360779220946,37.7078784279279,2.84993644249254
"50","San Carlos","CA","San Carlos, CA",10,-122.2605222,37.5071591,"CA",0.0112612612612613,-122.360779220946,37.7078784279279,14.9345376095908
"51","Foster City","CA","Foster City, CA",9,-122.2710788,37.5585465,"CA",0.0101351351351351,-122.360779220946,37.7078784279279,11.4410057480377
"52","Galveston","TX","Galveston, TX",9,-94.7976958,29.3013479,"TX",0.0141287284144427,-97.0156526846154,31.1728838894819,185.304819470269
"53","Sterling","VA","Sterling, VA",9,-77.4291298,39.0066993,"DC",0.0101123595505618,-77.1325625479775,38.937481625618,16.6552004019966
"54","College Station","TX","College Station, TX",7,-96.3344068,30.627977,"TX",0.010989010989011,-97.0156526846154,31.1728838894819,55.2885529690889
"55","San Rafael","CA","San Rafael, CA",7,-122.5310874,37.9735346,"CA",0.00788288288288288,-122.360779220946,37.7078784279279,20.6008146417242
"56","Addison","TX","Addison, TX",6,-96.8291685,32.96179,"TX",0.00941915227629513,-97.0156526846154,31.1728838894819,124.248293317239
"57","Arlington","TX","Arlington, TX",6,-97.1080656,32.735687,"TX",0.00941915227629513,-97.0156526846154,31.1728838894819,108.259319492333
"58","Fort Belvoir","VA","Fort Belvoir, VA",6,-77.1542684,38.7188716,"DC",0.00674157303370787,-77.1325625479775,38.937481625618,15.16982483388
"59","Laurel","MD","Laurel, MD",6,-76.8483061,39.0992752,"DC",0.00674157303370787,-77.1325625479775,38.937481625618,18.9412129180048
"60","Germantown","MD","Germantown, MD",5,-77.2716502,39.1731621,"DC",0.00561797752808989,-77.1325625479775,38.937481625618,17.936364336383
"61","Richardson","TX","Richardson, TX",5,-96.7298519,32.9483335,"TX",0.00784929356357928,-97.0156526846154,31.1728838894819,123.972987080536
"62","Richmond","CA","Richmond, CA",5,-122.3477486,37.9357576,"CA",0.00563063063063063,-122.360779220946,37.7078784279279,15.7820126512823
"63","San Bruno","CA","San Bruno, CA",5,-122.4110835,37.6304904,"CA",0.00563063063063063,-122.360779220946,37.7078784279279,6.02129300569457
"64","Westlake","TX","Westlake, TX",5,-97.1950138,32.991235,"TX",0.00784929356357928,-97.0156526846154,31.1728838894819,126.242076035407
"65","Carrollton","TX","Carrollton, TX",4,-96.8899636,32.9756415,"TX",0.00627943485086342,-97.0156526846154,31.1728838894819,124.942142261821
"66","San Ramon","CA","San Ramon, CA",4,-121.9539616,37.7643595,"CA",0.0045045045045045,-122.360779220946,37.7078784279279,22.5992175365387
"67","The Woodlands","TX","The Woodlands, TX",4,-95.4612625,30.1658207,"TX",0.00627943485086342,-97.0156526846154,31.1728838894819,115.80139192109
"68","Tysons","VA","Tysons, VA",4,-77.2310925,38.9187222,"DC",0.00449438202247191,-77.1325625479775,38.937481625618,5.45957569955777
"69","Alameda","CA","Alameda, CA",3,-122.2821855,37.7798721,"CA",0.00337837837837838,-122.360779220946,37.7078784279279,6.58008724506915
"70","Allen","TX","Allen, TX",3,-96.6705503,33.1031744,"TX",0.00470957613814757,-97.0156526846154,31.1728838894819,135.06949813617
"71","Burlingame","CA","Burlingame, CA",3,-122.34809,37.5778696,"CA",0.00337837837837838,-122.360779220946,37.7078784279279,9.02155013635045
"72","Chevy Chase","MD","Chevy Chase, MD",3,-77.0788667,38.9692771,"DC",0.00337078651685393,-77.1325625479775,38.937481625618,3.63115110163527
"73","Concord","CA","Concord, CA",3,-122.0310733,37.9779776,"CA",0.00337837837837838,-122.360779220946,37.7078784279279,25.9555679017704
"74","Crystal City","VA","Crystal City, VA",3,-77.0521289,38.855419,"DC",0.00337078651685393,-77.1325625479775,38.937481625618,7.14088359322999
"75","Falls Church","VA","Falls Church, VA",3,-77.1710914,38.882334,"DC",0.00337078651685393,-77.1325625479775,38.937481625618,4.34278883841931
"76","Germany","TX","Germany, TX",3,-95.350778,31.4399019,"TX",0.00470957613814757,-97.0156526846154,31.1728838894819,100.132123605868
"77","Greenbelt","MD","Greenbelt, MD",3,-76.8755282,39.0045544,"DC",0.00337078651685393,-77.1325625479775,38.937481625618,14.5836669865618
"78","Hayward","CA","Hayward, CA",3,-122.0809964,37.6687665,"CA",0.00337837837837838,-122.360779220946,37.7078784279279,15.5552282255051
"79","Lubbock","TX","Lubbock, TX",3,-101.8551665,33.5778631,"TX",0.00470957613814757,-97.0156526846154,31.1728838894819,328.039182664904
"80","Novato","CA","Novato, CA",3,-122.5697032,38.1074198,"CA",0.00337837837837838,-122.360779220946,37.7078784279279,29.902687190817
"81","Round Rock","TX","Round Rock, TX",3,-97.678896,30.5082551,"TX",0.00470957613814757,-97.0156526846154,31.1728838894819,60.5523957599229
"82","San Leandro","CA","San Leandro, CA",3,-122.1568554,37.7257663,"CA",0.00337837837837838,-122.360779220946,37.7078784279279,11.2289076742422
"83","Adelphi","MD","Adelphi, MD",2,-76.97192,39.0031656,"DC",0.00224719101123596,-77.1325625479775,38.937481625618,9.76304174553078
"84","Angleton","TX","Angleton, TX",2,-95.4318847,29.16941,"TX",0.00313971742543171,-97.0156526846154,31.1728838894819,167.883372075032
"85","Belton","TX","Belton, TX",2,-97.464453,31.0560132,"TX",0.00313971742543171,-97.0156526846154,31.1728838894819,27.7859369803305
"86","Beltsville","MD","Beltsville, MD",2,-76.9074739,39.0348317,"DC",0.00224719101123596,-77.1325625479775,38.937481625618,13.8523729529356
"87","Bowie","MD","Bowie, MD",2,-76.7791365,39.0067768,"DC",0.00224719101123596,-77.1325625479775,38.937481625618,19.6054256319696
"88","Fort Sam Houston","TX","Fort Sam Houston, TX",2,-98.4458421,29.4569597,"TX",0.00313971742543171,-97.0156526846154,31.1728838894819,146.249389027752
"89","Freeport","TX","Freeport, TX",2,-95.3596617,28.9541368,"TX",0.00313971742543171,-97.0156526846154,31.1728838894819,182.73861887852
"90","Frisco","TX","Frisco, TX",2,-96.8236116,33.1506744,"TX",0.00313971742543171,-97.0156526846154,31.1728838894819,137.295844354952
"91","Greenville","TX","Greenville, TX",2,-96.1108066,33.1384488,"TX",0.00313971742543171,-97.0156526846154,31.1728838894819,145.949375148632
"92","Kemah","TX","Kemah, TX",2,-95.0204837,29.5427297,"TX",0.00313971742543171,-97.0156526846154,31.1728838894819,164.027153701084
"93","Kyle","TX","Kyle, TX",2,-97.8772267,29.9891052,"TX",0.00313971742543171,-97.0156526846154,31.1728838894819,96.6485982612817
"94","Lewisville","TX","Lewisville, TX",2,-96.994174,33.046233,"TX",0.00313971742543171,-97.0156526846154,31.1728838894819,129.614730336979
"95","Randolph A F B","TX","Randolph A F B, TX",2,-98.2814747,29.5249047,"TX",0.00313971742543171,-97.0156526846154,31.1728838894819,136.786353707361
"96","Spring","TX","Spring, TX",2,-95.4171601,30.0799405,"TX",0.00313971742543171,-97.0156526846154,31.1728838894819,121.546480269727
"97","Suitland","MD","Suitland, MD",2,-76.9240422,38.8485264,"DC",0.00224719101123596,-77.1325625479775,38.937481625618,12.8045247680582
"98","Albany","CA","Albany, CA",1,-122.2977557,37.886704,"CA",0.00112612612612613,-122.360779220946,37.7078784279279,12.842932953489
"99","Andrews AFB","MD","Andrews AFB, MD",1,-76.8836261,38.7965203,"DC",0.00112359550561798,-77.1325625479775,38.937481625618,16.5810707088667
"100","Annandale","VA","Annandale, VA",1,-77.1963703,38.8303905,"DC",0.00112359550561798,-77.1325625479775,38.937481625618,8.16727121684444
"101","Belmont","CA","Belmont, CA",1,-122.2758008,37.5202145,"CA",0.00112612612612613,-122.360779220946,37.7078784279279,13.793624210598
"102","Bryan","TX","Bryan, TX",1,-96.3699632,30.6743643,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,51.5573470504145
"103","Burke","VA","Burke, VA",1,-77.2716505,38.7934466,"DC",0.00112359550561798,-77.1325625479775,38.937481625618,12.4676596372999
"104","Burnet","TX","Burnet, TX",1,-98.2283585,30.7582376,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,77.4517664940734
"105","Centreville","VA","Centreville, VA",1,-77.4288769,38.8403909,"DC",0.00112359550561798,-77.1325625479775,38.937481625618,17.3131937972714
"106","Columbia","MD","Columbia, MD",1,-76.8610462,39.2037144,"DC",0.00112359550561798,-77.1325625479775,38.937481625618,23.4940648117865
"107","Comanche Village I","TX","Comanche Village I, TX",1,-97.8077984,31.1415623,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,46.9493638185355
"108","Corpus Christi","TX","Corpus Christi, TX",1,-97.396381,27.8005828,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,234.437708452296
"109","Denton","TX","Denton, TX",1,-97.1330683,33.2148412,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,141.44098527067
"110","Dublin","CA","Dublin, CA",1,-121.9101221,37.7159396,"CA",0.00112612612612613,-122.360779220946,37.7078784279279,24.6718314548009
"111","El Paso","TX","El Paso, TX",1,-106.4850217,31.7618778,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,560.101631455901
"112","Forney","TX","Forney, TX",1,-96.4719312,32.7481845,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,113.564189647913
"113","Fulton","MD","Fulton, MD",1,-76.9230507,39.1511692,"DC",0.00112359550561798,-77.1325625479775,38.937481625618,18.5824388509001
"114","Grapevine","TX","Grapevine, TX",1,-97.0780654,32.9342919,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,121.918850034517
"115","Harlingen","TX","Harlingen, TX",1,-97.6961026,26.1906306,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,347.162257612416
"116","Hercules","CA","Hercules, CA",1,-122.2885808,38.0171441,"CA",0.00112612612612613,-122.360779220946,37.7078784279279,21.7570775238333
"117","Huntsville","TX","Huntsville, TX",1,-95.5507771,30.7235263,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,92.3110835233225
"118","Italy","TX","Italy, TX",1,-96.8847194,32.1840381,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,70.3806701405642
"119","Lanham","MD","Lanham, MD",1,-76.8620327,38.9685112,"DC",0.00112359550561798,-77.1325625479775,38.937481625618,14.7127625172019
"120","Leander","TX","Leander, TX",1,-97.8530686,30.5788055,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,64.5134813827053
"121","Marshall","TX","Marshall, TX",1,-94.3674184,32.5448714,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,182.272465190717
"122","North Bethesda","MD","North Bethesda, MD",1,-77.1188678,39.0445535,"DC",0.00112359550561798,-77.1325625479775,38.937481625618,7.44433695792696
"123","Paris","TX","Paris, TX",1,-95.555513,33.6609389,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,192.096456690836
"124","Pharr","TX","Pharr, TX",1,-98.1836216,26.1947962,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,351.622919706184
"125","Roanoke","TX","Roanoke, TX",1,-97.2258483,33.0040126,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,127.28518082708
"126","Rosslyn","VA","Rosslyn, VA",1,-77.0751538,38.8939779,"DC",0.00112359550561798,-77.1325625479775,38.937481625618,4.31387620431389
"127","Sausalito","CA","Sausalito, CA",1,-122.4852507,37.8590937,"CA",0.00112612612612613,-122.360779220946,37.7078784279279,12.4809276590513
"128","Stanford","CA","Stanford, CA",1,-122.1660756,37.424106,"CA",0.00112612612612613,-122.360779220946,37.7078784279279,22.3486405886041
"129","Union City","CA","Union City, CA",1,-122.0438609,37.5933562,"CA",0.00112612612612613,-122.360779220946,37.7078784279279,19.0826837818694
"130","University Park","TX","University Park, TX",1,-96.797592,32.8550377,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,117.081499260099
"131","Webster","TX","Webster, TX",1,-95.1182645,29.5377315,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,160.085622540575
"132","Weslaco","TX","Weslaco, TX",1,-97.9908366,26.1595194,"TX",0.00156985871271586,-97.0156526846154,31.1728838894819,351.861757188359
"133","White Oak","MD","White Oak, MD",1,-76.9930319,39.0398315,"DC",0.00112359550561798,-77.1325625479775,38.937481625618,10.3171240879596
"134","Woodside","CA","Woodside, CA",1,-122.2538557,37.4299388,"CA",0.00112612612612613,-122.360779220946,37.7078784279279,20.1034725016861
